Month,Project,Internal ID,Item Internal ID,N/C,Attribute,UoM,Source,Index,Value,Product Category,Material Category
31-08-22,,515,2176,911020,Actuals,Amount,NetSuite,1,2875,Category_34,Material Category 6
31-08-22,,515,2176,911020,Actuals,Qty,NetSuite,2,2,Category_34,Material Category 6
31-08-22,,515,2172,911020,Actuals,Amount,NetSuite,3,2288,Category_34,Material Category 6
31-08-22,,515,2172,911020,Actuals,Qty,NetSuite,4,2,Category_34,Material Category 6
31-08-22,,515,2166,911020,Actuals,Amount,NetSuite,5,2450,Category_34,Material Category 6
31-08-22,,515,2166,911020,Actuals,Qty,NetSuite,6,2,Category_34,Material Category 6
31-08-22,,515,2167,911020,Actuals,Amount,NetSuite,7,2325,Category_34,Material Category 6
31-08-22,,515,2167,911020,Actuals,Qty,NetSuite,8,2,Category_34,Material Category 6
31-08-22,,515,2169,911020,Actuals,Amount,NetSuite,9,4650,Category_34,Material Category 6
31-08-22,,515,2169,911020,Actuals,Qty,NetSuite,10,5,Category_34,Material Category 6
31-08-22,,515,2174,911020,Actuals,Amount,NetSuite,11,2450,Category_34,Material Category 6
31-08-22,,515,2174,911020,Actuals,Qty,NetSuite,12,2,Category_34,Material Category 6
31-08-22,,515,2242,911020,Actuals,Amount,NetSuite,13,11875,Category_34,Material Category 6
31-08-22,,515,2242,911020,Actuals,Qty,NetSuite,14,12,Category_34,Material Category 6
31-08-22,,520,2166,92103,Actuals,Amount,NetSuite,15,-1633,Category_34,Material Category 6
31-08-22,,520,2166,92103,Actuals,Qty,NetSuite,16,-2,Category_34,Material Category 6
31-08-22,,520,2167,92103,Actuals,Amount,NetSuite,17,-1633,Category_34,Material Category 6
31-08-22,,520,2167,92103,Actuals,Qty,NetSuite,18,-2,Category_34,Material Category 6
31-08-22,,520,2176,92103,Actuals,Amount,NetSuite,19,-2053,Category_34,Material Category 6
31-08-22,,520,2176,92103,Actuals,Qty,NetSuite,20,-2,Category_34,Material Category 6
31-08-22,,520,2172,92103,Actuals,Amount,NetSuite,21,-1633,Category_34,Material Category 6
